1-8	Acyclovir
40173-7	Glucose 10h Post XXX Challenge
40174-5	Glucose 10.75h Post XXX Challenge
40175-2	Glucose 11.5h Post XXX Challenge
40176-0	Glucose 12h Post XXX Challenge
40177-8	Glucose 12.5h Post XXX Challenge
40178-6	Glucose 13h Post XXX Challenge
40179-4	Glucose 13.5h Post XXX Challenge
40180-2	Glucose 14h Post XXX Challenge
40181-0	Glucose 15.5h Post XXX Challenge
40182-8	Glucose 16h Post XXX Challenge
40183-6	Glucose 17.5h Post XXX Challenge
40184-4	Glucose 18h Post XXX Challenge
40185-1	Glucose 18.5h Post XXX Challenge
40186-9	Glucose 19.5h Post XXX Challenge
40187-7	Glucose 20h Post XXX Challenge
4018-8	Quinine; Blood
40188-5	Glucose 20.5h Post XXX Challenge
40189-3	Glucose 21.5h Post XXX Challenge
40190-1	Glucose 22h Post XXX Challenge
40191-9	Glucose 23.5h Post XXX Challenge
40192-7	Glucose 1d Post XXX Challenge
40193-5	Glucose Pre-Meal
40194-3	Glucose 20m Pre XXX Challenge
40195-0	Glucose 13m Pre XXX Challenge
4019-6	Quinine
40196-8	Glucose 8m Pre XXX Challenge
40197-6	Glucose 3m Pre XXX Challenge
40198-4	Glucose 2m Post XXX Challenge
40199-2	Glucose 3m Post XXX Challenge
40200-8	Glucose 4m Post XXX Challenge
40201-6	Glucose 6m Post XXX Challenge
40202-4	Glucose 8m Post XXX Challenge
40203-2	Glucose 9m Post XXX Challenge
4020-4	Quinine; Urine
40204-0	Glucose 12m Post XXX Challenge
40205-7	Glucose 14m Post XXX Challenge
40206-5	Glucose 16m Post XXX Challenge
40207-3	Glucose 19m Post XXX Challenge
40208-1	Glucose 22m Post XXX Challenge
40209-9	Glucose 25m Post XXX Challenge
40210-7	Glucose 27m Post XXX Challenge
40211-5	Glucose 3.5h Post XXX Challenge
4021-2	Rifampin
40212-3	Glucose 4.5h Post XXX Challenge
40213-1	Glucose 5.5h Post XXX Challenge
40214-9	Glucose 25h Post XXX Challenge
40215-6	Glucose 26h Post XXX Challenge
40216-4	Glucose 27h Post XXX Challenge
40217-2	Glucose 28h Post XXX Challenge
40218-0	Glucose 29h Post XXX Challenge
40219-8	Glucose 30h Post XXX Challenge
4022-0	Salicylamide
40220-6	Glucose 31h Post XXX Challenge
40221-4	Glucose 36h Post XXX Challenge
40222-2	Glucose 2 Days Post XXX Challenge
40223-0	Calcium Pre XXX Challenge
40224-8	Calcium 45m Pre XXX Challenge
40225-5	Calcium 15m Pre XXX Challenge
40226-3	Calcium Baseline
40227-1	Calcium 30m Post XXX Challenge
40228-9	Calcium 45m Post XXX Challenge
40229-7	Calcium 1h Post XXX Challenge
40230-5	Calcium 1.5h Post XXX Challenge
40231-3	Calcium 2h Post XXX Challenge
40232-1	Calcium 2.5h Post XXX Challenge
40233-9	Calcium 3h Post XXX Challenge
40234-7	Calcium 4h Post XXX Challenge
40235-4	Calcium 5h Post XXX Challenge
40236-2	Calcium 6.5h Post XXX Challenge
40237-0	Calcium 7.5h Post XXX Challenge
4023-8	Salicylates
40238-8	Calcium 8h Post XXX Challenge
40239-6	Calcium 12h Post XXX Challenge
40240-4	Calcium 13h Post XXX Challenge
40241-2	Calcium 14h Post XXX Challenge
40242-0	Calcium 16h Post XXX Challenge
40243-8	Calcium 20h Post XXX Challenge
40244-6	Calcium 1d Post XXX Challenge
40245-3	Calcium 36h Post XXX Challenge
4024-6	Salicylates
40246-1	Calcium 2d Post XXX Challenge
40247-9	Calcium 3d Post XXX Challenge
40248-7	Creatinine Baseline
40249-5	Creatinine 30m Post XXX Challenge
40250-3	Creatinine 1h Post XXX Challenge
40251-1	Creatinine 1.5h Post XXX Challenge
40252-9	Creatinine 2h Post XXX Challenge
4025-3	Salicylates; Urine
40253-7	Creatinine 2.25h Post XXX Challenge
40254-5	Creatinine 2.5h Post XXX Challenge
40255-2	Creatinine 3h Post XXX Challenge
40256-0	Creatinine 5h Post XXX Challenge
40257-8	Creatinine 6h Post XXX Challenge
40258-6	Creatinine 1d Post XXX Challenge
40259-4	Glucose 10.5h Post XXX Challenge
40260-2	Glucose 10.75h Post XXX Challenge
4026-1	Salicylates; Urine
40261-0	Glucose 13m Pre XXX Challenge
40262-8	Glucose 3m Pre XXX Challenge
40263-6	Glucose 30m Post XXX Challenge
40264-4	Creatinine Baseline
40265-1	Creatinine 30m Post XXX Challenge
40266-9	Creatinine 1h Post XXX Challenge
40267-7	Creatinine 1.5h Post XXX Challenge
40268-5	Creatinine 2h Post XXX Challenge
40269-3	Creatinine 2.5h Post XXX Challenge
40270-1	Creatinine 3h Post XXX Challenge
40271-9	Creatinine 5h Post XXX Challenge
40272-7	Creatinine 6h Post XXX Challenge
40273-5	Creatinine 1d Post XXX Challenge
40274-3	Cortisol 15m Post XXX Challenge
40275-0	Cortisol 45m Post XXX Challenge
40276-8	Glucose 30m Post Dose Lactose PO
40277-6	Glucose 1h Post Dose Lactose PO
40278-4	Glucose 1.5h Post Dose Lactose PO
4027-9	Secobarbital
40279-2	Glucose 2h Post Dose Lactose PO
402-8	Phenethicillin; Isolate+Ser
40280-0	Glucose 3h Post Dose Lactose PO
40281-8	Lactose 30m Post Dose Lactose PO
40282-6	Lactose 1h Post Dose Lactose PO
40283-4	Lactose 1.5h Post Dose Lactose PO
40284-2	Lactose 2h Post Dose Lactose PO
40285-9	Glucose 75m Post Dose Glucose
40286-7	Glucose 105m Post Dose Glucose
4028-7	Secobarbital
40287-5	Glucose 1h Post Meal
40288-3	Insulin 30m Post XXX Challenge
40289-1	Insulin 1h Post XXX Challenge
40290-9	Insulin 1.5h Post XXX Challenge
40291-7	Insulin 2h Post XXX Challenge
40292-5	Insulin 2.5h Post XXX Challenge
40293-3	Insulin 3h Post XXX Challenge
40294-1	Insulin Pre/Post Dose Glucose
4029-5	Secobarbital; Urine
40295-8	Triiodothyronine Free 2h Post XXX Challenge
40296-6	Xylose Fasting
40297-4	Growth Hormone [GH] 3.5h Post XXX Challenge
40298-2	Growth Hormone [GH] Pre Dose Clonidine
40299-0	Growth Hormone [GH] 1h Post Dose Clonidine
40300-6	Growth Hormone [GH] 1.5h Post Dose Clonidine
40301-4	Growth Hormone [GH] 2h Post Dose Clonidine
40302-2	Growth Hormone [GH] Pre Dose Arginine
4030-3	Sotalol; Urine
40303-0	Growth Hormone [GH] 1h Post Dose Arginine
40304-8	Growth Hormone [GH] 1.5h Post Dose Arginine
40305-5	Growth Hormone [GH] 2h Post Dose Arginine
40306-3	Growth Hormone [GH] 3h Post Dose Arginine
40307-1	Growth Hormone [GH] 3.5h Post Dose Arginine
40308-9	Growth Hormone [GH] 4h Post Dose Arginine
40309-7	Growth Hormone [GH] Pre/Post Dose Glucose
40310-5	Cortisol Pre Dose Triple Bolus
4031-1	Sotalol; Urine
40311-3	Cortisol 15m Post Dose Triple Bolus
40312-1	Cortisol 30m Post Dose Triple Bolus
40313-9	Cortisol 45m Post Dose Triple Bolus
40314-7	Cortisol 1h Post Dose Triple Bolus
40315-4	Cortisol 1.5h Post Dose Triple Bolus
40316-2	Cortisol 2h Post Dose Triple Bolus
40317-0	Cortisol 3h Post Dose Triple Bolus
40318-8	Glucose Pre Dose Triple Bolus
40319-6	Glucose 15m Post Dose Triple Bolus
40320-4	Glucose 30m Post Dose Triple Bolus
40321-2	Glucose 45m Post Dose Triple Bolus
40322-0	Glucose 1h Post Dose Triple Bolus
40323-8	Glucose 2h Post Dose Triple Bolus
40324-6	Glucose 3h Post Dose Triple Bolus
40325-3	Testosterone Pre Dose Triple Bolus
40326-1	Testosterone 3h Post Dose Triple Bolus
40327-9	Triiodothyronine Free Pre Dose Triple Bolus
40328-7	Triiodothyronine Free 2h Post Dose Triple Bolus
4032-9	Sotalol; 24h Urine
40329-5	Prolactin Pre Dose Triple Bolus
40330-3	Prolactin 15m Post Dose Triple Bolus
40331-1	Prolactin 20m Post Dose Triple Bolus
40332-9	Prolactin 30m Post Dose Triple Bolus
40333-7	Prolactin 1h Post Dose Triple Bolus
40334-5	Growth Hormone [GH] Pre Dose Triple Bolus
40335-2	Growth Hormone [GH] 15m Post Dose Triple Bolus
40336-0	Growth Hormone [GH] 30m Post Dose Triple Bolus
40337-8	Growth Hormone [GH] 45m Post Dose Triple Bolus
40338-6	Growth Hormone [GH] 1h Post Dose Triple Bolus
40339-4	Growth Hormone [GH] 2h Post Dose Triple Bolus
40340-2	Growth Hormone [GH] 3h Post Dose Triple Bolus
40341-0	MTATP6 gene.c.T8993G; Blood/Tiss
40342-8	Mttl1 gene.c.T3271G; Blood/Tiss
40343-6	MTTK gene.c.A8296G; Blood/Tiss
4034-5	Spironolactone; Urine
40345-1	MTTK gene.c.T8356GC; Blood/Tiss
40346-9	MTCO1 gene.c.A7445G; Blood/Tiss
40347-7	Mttl1 gene.c.C3256T; Blood/Tiss
40348-5	Mttl1 gene.c.T3252C; Blood/Tiss
40349-3	MTTK gene.c.G8363A; Blood/Tiss
40350-1	Mttl1 gene.c.T3291C; Blood/Tiss
40351-9	Mtnd4 gene.c.G11778A; Blood/Tiss
4035-2	Spironolactone; 24h Urine
40352-7	Mtnd5 gene.c.G13513A; Blood/Tiss
40353-5	Mtnd6 gene.c.T14484C; Blood/Tiss
40354-3	Mtnd1 gene.c.G3460A; Blood/Tiss
40355-0	Cotinine; Hair
40356-8	Creatinine; Dialysis Fluid
40357-6	Creatinine; Fluid
40358-4	Desipramine; Gastric Fluid
40359-2	Dextromethorphan
403-6	Pipemidic Acid
4036-0	Stanozolol; Urine
40360-0	Follicle Stimulating Hormone [FSH] 15m Post Dose Triple Bolus
40361-8	Follicle Stimulating Hormone [FSH] 1h Post Dose Triple Bolus
40362-6	Follicle Stimulating Hormone [FSH] 20m Post Dose Triple Bolus
40363-4	Follicle Stimulating Hormone [FSH] 2h Post Dose Triple Bolus
40364-2	Follicle Stimulating Hormone [FSH] 30m Post Dose Triple Bolus
40365-9	Follicle Stimulating Hormone [FSH] Pre Dose Triple Bolus
40366-7	Glucose; Fluid
40367-5	Heptacarboxylate; 24h Urine
40368-3	Hexacarboxylate; 24h Urine
40369-1	Hydromorphone; Gastric Fluid
40370-9	Imipramine; Gastric Fluid
40371-7	Isoniazid; Urine
40372-5	Isopropanol; Gastric Fluid
40373-3	Luteinizing Hormone [LH] 15m Post Dose Triple Bolus
40374-1	Luteinizing Hormone [LH] 1h Post Dose Triple Bolus
40375-8	Luteinizing Hormone [LH] 20m Post Dose Triple Bolus
40376-6	Luteinizing Hormone [LH] 2h Post Dose Triple Bolus
40377-4	Luteinizing Hormone [LH] 30m Post Dose Triple Bolus
4037-8	Stanozolol; Urine
40378-2	Luteinizing Hormone [LH] Pre Dose Triple Bolus
40379-0	Maprotiline; Gastric Fluid
40380-8	Meprobamate; Gastric Fluid
40381-6	Methamphetamine
40382-4	Methaqualone; Gastric Fluid
40383-2	Methyprylon; Gastric Fluid
40384-0	Morphine; Hair
40385-7	Nicotine; Mecnonium
4038-6	Stanozolol; 24h Urine
40386-5	Nicotine; Hair
40387-3	Nicotine; Gastric Fluid
40388-1	Nitrogen; 24h Urine
40389-9	Nortriptyline; Gastric Fluid
40390-7	Olanzapine; Urine
40391-5	Para Aminobenzoate Free
40392-3	Pentacarboxylate; 24h Urine
40393-1	Pentazocine; Gastric Fluid
4039-4	Streptomycin
40394-9	Phencyclidine; Hair
40395-6	Phentermine; Gastric Fluid
40396-4	Porphyrins; 24h Urine
40397-2	Thyroid Stimulating Hormone [TSH] 15m Post Dose Triple Bolus
40398-0	Thyroid Stimulating Hormone [TSH] 1h Post Dose Triple Bolus
40399-8	Thyroid Stimulating Hormone [TSH] 20m Post Dose Triple Bolus
40400-4	Thyroid Stimulating Hormone [TSH] 30m Post Dose Triple Bolus
40401-2	Thyroid Stimulating Hormone [TSH] Pre Dose Triple Bolus
4040-2	Sulfonamide
40402-0	Trazodone; Gastric Fluid
40403-8	Trimipramine; Gastric Fluid
40404-6	Tripelennamine; Gastric Fluid
40405-3	Urea; Dialysis Fluid
40406-1	Urea; Fluid
40407-9	Uroporphyrin 1 Isomer; 24h Urine
40408-7	Uroporphyrin 3 Isomer; 24h Urine
40409-5	3-Methoxytyramine; 24h Urine
4041-0	Sulfonamide
40410-3	Alkaline Phosphatase; Peritoneal Fluid
40411-1	Amitriptyline; Gastric Fluid
40412-9	Barbiturates; Mecnonium
40413-7	Barbiturates; Hair
40414-5	Benzodiazepines; Mecnonium
40415-2	Benzodiazepines; Hair
40416-0	Caffeine; Gastric Fluid
40417-8	Chromium; 24h Urine
40418-6	Cotinine; Mecnonium
40419-4	Amphetamine + Methamphetamine; Urine
40420-2	Amphetamine + Methamphetamine
40421-0	Amphetamine + Methamphetamine
40422-8	Levomepromazine; Urine
40423-6	Levomepromazine
40424-4	Levomepromazine
40425-1	CYP2D6 gene mutation analysis; Blood/Tiss
40426-9	FGD1 gene mutation analysis; Blood/Tiss
40427-7	FGF23 gene mutation analysis; Blood/Tiss
4042-8	Sulfonamide; Urine
40428-5	NIPBL gene mutation analysis; Blood/Tiss
40429-3	CARD15 gene mutation analysis; Blood/Tiss
40430-1	TH gene mutation analysis; Blood/Tiss
40431-9	Osmotic Fragility Fresh; RBC control
40432-7	Osmotic Fragility Incubated; RBC control
40433-5	Sucrose Hemolysis; RBC control
40434-3	APTX gene mutation analysis; Blood/Tiss
40435-0	Culture
4043-6	Teicoplanin
40436-8	Parainfluenza virus
40437-6	HIV 1 P24 antibody
40438-4	HIV 1 GP41 antibody
40439-2	HIV 1 GP120+GP160 antibody
404-4	Pipemidic Acid
40440-0	Microorganism serotype
40442-6	Heart beat post exercise
40443-4	Heart beat resting
4044-4	Tetracaine
40444-2	Cytomegalovirus Gene Mutations
40449-1	Oxygen Saturation Resting; Capillary Blood
40450-9	Oxygen Saturation Post Exercise; Capillary Blood
4045-1	Tetracycline
40451-7	Lead; Stool
40452-5	Sialate/Creatinine Ratio; Urine
40453-3	Sialooligosaccharides; Urine
40454-1	Euglobulin Clot Lysis; Platelet Poor Plasma
40455-8	Ceruloplasmin Actual/Normal Ratio
40456-6	Beta 2 Glycoprotein 1 antibody
40457-4	Prothrombin antibody
40458-2	Prothrombin Factor Substitution Immediately After Addition Of Factor VIII Depleted Plasma; Platelet Poor Plasma
40459-0	Hepatitis B virus DNA
40460-8	Phenytoin Bound
40461-6	GJB1 gene allele 1; Blood/Tiss
40462-4	GJB1 gene allele 2; Blood/Tiss
40463-2	TNFRSF1A gene mutation analysis; Blood/Tiss
40464-0	Drugs Identified; Urine
40465-7	Glimepiride
40466-5	Herpes simplex virus 1 antibody IgM
40467-3	U1 small nuclear ribonucleoprotein antibody IgG
40468-1	SLC26A4 gene mutation analysis; Blood/Tiss
4046-9	Tetrahydrocortisone; Urine
40469-9	Hydroflumethiazide; Urine
40470-7	Lymphocytes; Semen
40471-5	FBN1 gene mutation analysis; Blood/Tiss
40472-3	Tetradecadienoate/Creatinine Ratio; Urine
40473-1	Thermoactinomyces vulgaris 1 antibody
40474-9	Volatiles
40475-6	WFS1 gene mutation analysis; Blood/Tiss
40476-4	PARK2 gene mutation analysis; Blood/Tiss
4047-7	Theophylline; Blood
40477-2	L1CAM gene mutation analysis; Blood/Tiss
40478-0	MAPT gene mutation analysis; Blood/Tiss
40479-8	Virus
40480-6	Virus
40481-4	Methylenedioxymethamphetamine
40482-2	Crystals; Unidentified
40483-0	Phosphate Crystals; Amorphous
40484-8	Urate Crystals; Amorphous
4048-5	Theophylline; Saliva
40485-5	Urate Crystals
40486-3	Protein/Creatinine; 24h Urine
40487-1	Urea/Creatinine Ratio; Urine
40488-9	Glucose/Creatinine Ratio; Urine
40489-7	Histiocytes/100 Cells; Synovial Fluid
40490-5	Macrophages/100 Leukocytes; Synovial Fluid
40491-3	Neutrophils/100 Leukocytes; Synovial Fluid
40492-1	Plasma Cells/100 Leukocytes; Synovial Fluid
4049-3	Theophylline
40493-9	Methylenedioxymethamphetamine
40494-7	Yersinia pseudotuberculosis antibody
40495-4	Yersinia pseudotuberculosis 3 antibody
40496-2	Yersinia pseudotuberculosis 2 antibody
40497-0	Yersinia pseudotuberculosis 1 antibody
40498-8	Yersinia enterocolitica antibody
40499-6	Lymphocytic Choriomeningitis virus antibody IgM
40500-1	Lymphocytic Choriomeningitis virus antibody IgG
4050-1	Thiopental
40501-9	Candida species antibody
40502-7	Saint Louis Encephalitis virus antibody
40503-5	Sindbis virus antibody
40504-3	Powassan virus antibody
40505-0	Chikungunya virus antibody
40506-8	Jamestown Canyon virus antibody
40507-6	Jamestown Canyon virus antibody
40508-4	Jamestown Canyon virus antibody IgM
40509-2	Snowshoe Hare virus antibody IgM
405-1	Pipemidic Acid
40510-0	Snowshoe Hare virus antibody
40511-8	Snowshoe Hare virus antibody
40512-6	Semliki Forest virus antibody
40513-4	Powassan virus antibody
40514-2	Saint Louis Encephalitis virus antibody
40515-9	Dengue virus antibody
40516-7	Histiocytes/100 Cells; Peritoneal Fluid
40517-5	Macrophages/100 Leukocytes; Peritoneal Fluid
40518-3	Plasma Cells/100 Leukocytes; Peritoneal Fluid
40519-1	Histiocytes/100 Cells; Pleural Fluid
40520-9	Macrophages/100 Leukocytes; Pleural Fluid
40521-7	Monocytes/100 Leukocytes; Pleural Fluid
40522-5	Plasma Cells/100 Leukocytes; Pleural Fluid
40523-3	Histiocytes/100 Cells; Pericardial Fluid
40524-1	Macrophages/100 Leukocytes; Pericardial Fluid
40525-8	Monocytes/100 Leukocytes; Pericardial Fluid
40526-6	Plasma Cells/100 Leukocytes; Pericardial Fluid
4052-7	Thioridazine
40527-4	Cocaine; Mecnonium
40528-2	Opiates; Hair
40529-0	Amphetamines; Hair
40530-8	Ethanol; Gastric Fluid
40531-6	Methylenedioxyamphetamine; Gastric Fluid
40532-4	Methanol; Gastric Fluid
40533-2	Leukocytes; Dialysis Fluid Peritoneal
40534-0	Erythrocytes; Dialysis Fluid Peritoneal
4053-5	Thioridazine; Urine
40535-7	Leukocytes Other/100 Leukocytes; Dialysis Fluid Peritoneal
40536-5	Neutrophils/100 Leukocytes; Dialysis Fluid Peritoneal
40537-3	Monocytes/100 Leukocytes; Dialysis Fluid Peritoneal
40538-1	Lymphocytes/100 Leukocytes; Dialysis Fluid Peritoneal
40539-9	Eosinophils/100 Leukocytes; Dialysis Fluid Peritoneal
40540-7	Basophils/100 Leukocytes; Dialysis Fluid Peritoneal
40541-5	Plasma Cells/100 Leukocytes; CSF
40542-3	Rubella virus antibody
4054-3	Ticarcillin
40543-1	Leukocytes Other/100 Leukocytes; Brochial Washings
40544-9	Monocytes/100 Leukocytes; Brochial Washings
40545-6	Hemoglobin C; Blood
40546-4	Hemoglobin E; Blood
40547-2	Hemoglobin H; Blood
40548-0	Mononuclear Cells Atypical; Blood
40549-8	Hemoglobin F; Blood
4055-0	Ticarcillin + Clavulanate
40550-6	Hemoglobin H; Blood
40551-4	CD10 antigen
40552-2	CD117 antigen
40553-0	CD19 antigen
40554-8	CD45 antigen
40555-5	CD66E antigen
40556-3	Estrogen Receptor Antigen
40557-1	Progesterone Receptor Antigen
40558-9	Cytokeratin 20 Antigen
40559-7	Cytokertin 7 Antigen
40560-5	Cytokertin AE1+AE3 Antigen
40561-3	Cytokertin CAM5 2 Antigen
40562-1	Actin Muscle Specfiic Antigen
40563-9	Actin Smooth Muscle Antigen
40564-7	Thyroid Transcription Factor 1 Antigen
40565-4	Promyelocytes; Fluid
40566-2	Neutrophils; Fluid
40567-0	Myelocytes; Fluid
4056-8	Timolol
40568-8	Metamyelocytes; Fluid
40569-6	Eosinophils; Fluid
40570-4	Blasts; Fluid
40571-2	Basophils; Fluid
40572-0	Band Neutrophils; Fluid
40573-8	Lymphocytes Atypical; Fluid
40574-6	Platelets; Fluid
40575-3	Yersinia enterocolitica O5,27 antibody
4057-6	Tobramycin Peak
40576-1	Yersinia enterocolitica O8 antibody
40577-9	Yersinia enterocolitica O3 antibody
40578-7	Cryoglobulin IgM
40579-5	Cryoglobulin IgG
40580-3	Cryoglobulin IgA
40581-1	Cryoglobulin IgM
40582-9	Cryoglobulin IgG
40583-7	Invasive Trophoblast Antigen
4058-4	Tobramycin Random
40584-5	Arbovirus antibody IgM
40585-2	Drugs Identified
40587-8	Heart beat post exercise
40588-6	Inulin
4059-2	Tobramycin Trough
40593-6	Platelet aggregation.epinephrine induced^50 um; Platelet Rich Plama
40594-4	Platelet aggregation.epinephrine induced^100 um; Platelet Rich Plama
40595-1	Prothrombin antibody IgG
40596-9	Prothrombin antibody IgM
40597-7	7-Dehydrocholesterol; Amniotic Fluid
40598-5	Acetone; Gastric Fluid
40599-3	Albumin; Peritoneal Dialysis Fluid
40-6	Azlocillin
4060-0	Tocainide
40600-9	Alpha-1-Acid Glycoprotein; Urine
40601-7	Alpha-1-Acid Glycoprotein
40602-5	Alpha 1 Antitrypsin; Urine
40603-3	Alpha 1 Antitrypsin
40604-1	Alpha-2-Macroglobulin; Urine
40605-8	Alpha-2-Macroglobulin
40606-6	Appearance
40607-4	Ascaris lumbricoides antibody IgG
40608-2	Ascaris lumbricoides antibody IgM
40609-0	Benzoylecgonine
40610-8	Beta-2 Transferrin; CSF
40611-6	Blasts; Blood
40612-4	Borrelia burgdorferi antibody IgM
40613-2	Brucella species antibody
40614-0	Brucella species antibody
40615-7	Calcium Oxalate Crystals
40616-5	Campylobacter species antibody IgA
40617-3	Campylobacter species antibody IgG
4061-8	Tolbutamide
40618-1	Cancer Antigen 125; Peritoneal Fluid
40619-9	Carbon Dioxide Adjusted To Patients Actual Temperature; Blood Venous
40620-7	Carbon Dioxide Adjusted To Patients Actual Temperature; Blood Capillary
40621-5	Carcinoembryonic Antigen; Pericardial Fluid
40622-3	Carcinoembryonic Antigen; Peritoneal Fluid
40623-1	CD3+ CD4+ Cells/100 Cells
40624-9	CD3+ CD8+ Cells/100 Cells
40625-6	Cocaine
4062-6	Tranylcypromine; Urine
40626-4	Codeine
40627-2	Coproporphyrin; Stool
40628-0	Cryoglobulin IgA
40629-8	Doxepin
40630-6	Erythrocytes Nucleated; Blood
40631-4	Erythrocytes Nucleated/100 Leukocytes; CSF
40632-2	Gamma Globulin/Beta Globulin Ratio; CSF
40633-0	Hemopexin
4063-4	Trazodone
40634-8	Hydrocodone; Gastric Fluid
40635-5	Light Chains Kappa
40636-3	Immunoglobulin Light Chains Kappa; Urine
40637-1	Immunoglobulin Light Chains Kappa Free; Urine
40638-9	Immunoglobulin Light Chains Lambda; Urine
40639-7	Light Chains Lambda
40640-5	Immunoglobulin Light Chains Lambda Free; Urine
40641-3	Ketones; Vitreous Fluid
4064-2	Trazodone
40642-1	Leptospira automnalis antibody
40643-9	Leptospira borgpetersenii serovar ballum antibody
40644-7	Leptospira borgpetersenii serovar sejroe antibody
40645-4	Leptospira borgpetersenii serovar tarrasovi antibody
40646-2	Leukocytes Other/100 Leukocytes; Blood
40647-0	Lupus Anticoagulant Neutralization Platelet; Platelet Poor Plasma
40648-8	Measles virus antibody IgG
40649-6	Measles virus antibody IgM
40650-4	Mesothelial Cells/100 Leukocytes; Blood
40651-2	Metamyelocytes; Blood
40652-0	Methamphetamine; Hair
40653-8	Myelocytes/100 Leukocytes; Fluid
40654-6	Neutrophils Hypogranulated; Blood
40655-3	Nuclear antibody
40656-1	Parasite
40657-9	Parvovirus B19 antibody IgG
40658-7	Parvovirus B19 antibody IgM
4065-9	Trazodone; Urine
40659-5	Parvovirus B19 antibody IgM
40660-3	Promyelocytes/100 Leukocytes; Fluid
40661-1	Protein Monoclonal; Urine
40662-9	Protein Resting; 12h Urine
40663-7	Protein Upright; 12h Urine
40664-5	Pyrophosphate Crystals; Fluid
40665-2	Reticulocytes; RBC
40666-0	Rubella virus antibody
4066-7	Triamterene; Urine
40667-8	Rubella virus antibody IgG
40668-6	Rubella virus antibody IgG
40669-4	Rubella virus antibody IgM
40670-2	Smudge Cells/100 Leukocytes; Fluid
40671-0	Specimen Volume; Urine
40672-8	Sucrose; Stool
40673-6	Thyroid Stimulating Hormone [TSH] Binding Inhibitory Immunoglobulins
40674-4	Toxocara canis antibody IgG
4067-5	Triamterene; 24h Urine
40675-1	Toxocara canis antibody IgM
40677-7	Toxoplasma gondii antibody IgG
40678-5	Toxoplasma gondii antibody IgM
40679-3	Treponema pallidum antibody IgG
40680-1	Treponema pallidum antibody IgM
40681-9	Turbidity
40682-7	Urate Crystals; Fluid
4068-3	Triamterene; Urine
40684-3	Acinetobacter species Multidrug Resistant
40685-0	Interpretation; CSF
40686-8	Platelet factor 3; Platelet Rich Plama
40687-6	Myeloid Cells/100 Cells; Bone Marrow
40688-4	Megakaryocytes; Bone Marrow
40689-2	Erythroid Cells/100 Cells; Bone Marrow
406-9	Pipemidic Acid; Isolate+Ser
40690-0	Tumour antigen 90
4069-1	Triazolam
40691-8	Specimen Volume Post Washing
40692-6	Specimen Volume Pre Washing
40693-4	RET gene mutation analysis; Blood/Tiss
40694-2	Sulfamethoxazole IgE
40695-9	Spermatozoa Post Concentration
40696-7	Spermatozoa.Motile Post Concentration
40697-5	Toxoplasma gondii antibody IgM Index
40698-3	Mycoplasma species
40699-1	Mycobacterium species
40700-7	Aromatic Solvents
40701-5	Arsenic; Dialysis Fluid
40702-3	Fibrin Monomer; Platelet Poor Plasma
40703-1	Lactoferrin; Stool
40704-9	Maternal cell contamination; Blood
40705-6	Brodifacoum; Blood
40706-4	Colchicine; Urine
40707-2	Amphotericin B Peak
40708-0	Polio virus antibody IgG 2nd Specimen
4070-9	Triazolam; Urine
40709-8	Polio virus antibody
40710-6	Chlamydia trachomatis antibody IgM
40711-4	Clostridium tetani antibody
40712-2	Coccidioides immitis antibody
40713-0	Giardia lamblia antibody IgG
40714-8	Giardia lamblia antibody IgM
40715-5	Granulocytes Immature; Blood
40716-3	Hairy Cells; Blood
4071-7	Chloral Hydrate; Blood
40717-1	Haptoglobin
40718-9	Heinz Bodies/100 Erythrocytes; Blood
40719-7	Hemoglobin; Cord Blood
40720-5	Hemoglobin C; Blood
40721-3	Hemoglobin F
40722-1	Hemosiderin; Sputum
40723-9	Heparin antibody; Platelet Poor Plasma
40724-7	Hepatitis A virus antibody IgG
4072-5	Chloral Hydrate; Urine
40725-4	Hepatitis B virus Core antibody IgG
40726-2	Hepatitis C virus antibody IgG
40727-0	Hepatitis D virus antibody
40728-8	Herpes simplex virus antibody IgG
40729-6	Herpes simplex virus antibody IgM
40730-4	Herpes virus 6 antibody IgG
40731-2	Herpes virus 6 antibody IgM
40732-0	HIV 1 antibody IgG
4073-3	Tricyclic Antidepressants
40733-8	HIV 1+2 antibody IgG
40734-6	HLA antibody
40735-3	HTLV 1+2 antibody IgG
40736-1	La Crosse virus antibody
40737-9	Mumps virus antibody IgG
40738-7	Mumps virus antibody IgM
40739-5	Osmotic Fragility Unincubated; RBC
40740-3	Osmotic Fragility Incubated; RBC
4074-1	Trifluoperazine
40741-1	Platelet Clump; Blood
40742-9	Rabies virus antibody IgG
40743-7	Plasma Cells; Blood
40744-5	Factor inhibitor XXX; Platelet Poor Plasma
40745-2	Filaria
40746-0	Fragments; Blood
40747-8	Complement C2
40748-6	Dengue virus antibody
40749-4	Echinococcus species antibody
40750-2	Epstein-Barr virus Capsid antibody IgG
40751-0	Epstein-Barr virus Capsid antibody IgM
40752-8	Epstein-Barr virus Early antibody IgG
40753-6	Epstein-Barr virus Nuclear antibody IgG
40754-4	17-Hydroxyprogesterone; Amniotic Fluid
40755-1	Amiodarone Peak
40756-9	Amiodarone Trough
40757-7	Amphotericin B Trough
4075-8	Trimeperidine; Urine
40758-5	Coxsackievirus A antibody
40759-3	Coxsackievirus A antibody IgM 1st Specimen
40760-1	Coxsackievirus A antibody 2nd Specimen
40761-9	Coxsackievirus A antibody 2nd Specimen
